Akt1,11651,mmu-miR-21a-5p,MIMAT0000530,transmir,Experimental,High
Creb3l2,208647,Arc,11838,kegg,Experimental,High
Creb3l2,208647,Aqp2,11827,kegg,Experimental,High
Creb3l2,208647,Npy,109648,kegg,Experimental,High
Creb3l2,208647,Mitf,17342,kegg,Experimental,High
Creb3l2,208647,Mcl1,17210,kegg,Experimental,High
Creb3l3,208677,Mitf,17342,kegg,Experimental,High
Creb3l3,208677,Fosb,14282,kegg,Experimental,High
Creb3l3,208677,Fos,14281,kegg,Experimental,High
Creb3l3,208677,Crh,12918,kegg,Experimental,High
Creb3l3,208677,Bdnf,12064,kegg,Experimental,High
Creb3l3,208677,Bcl2,12043,kegg,Experimental,High
Creb3l3,208677,Npy,109648,kegg,Experimental,High
Creb3l3,208677,Aqp2,11827,kegg,Experimental,High
Creb3l3,208677,Arc,11838,kegg,Experimental,High
Creb3l3,208677,Pdyn,18610,kegg,Experimental,High
Creb3l3,208677,Pcna,18538,kegg,Experimental,High
Creb3l3,208677,Mcl1,17210,kegg,Experimental,High
Creb3l4,78284,Mcl1,17210,kegg,Experimental,High
Creb3l4,78284,Fosb,14282,kegg,Experimental,High
Creb3l4,78284,Fos,14281,kegg,Experimental,High
Creb3l4,78284,Crh,12918,kegg,Experimental,High
Creb3l4,78284,Bdnf,12064,kegg,Experimental,High
Creb3l4,78284,Bcl2,12043,kegg,Experimental,High
Creb3l4,78284,Pdyn,18610,kegg,Experimental,High
Creb3l4,78284,Arc,11838,kegg,Experimental,High
Creb3l4,78284,Aqp2,11827,kegg,Experimental,High
Creb3l4,78284,Npy,109648,kegg,Experimental,High
Creb3l4,78284,Pcna,18538,kegg,Experimental,High
Creb3l4,78284,Mitf,17342,kegg,Experimental,High
Creb5,231991,Fosb,14282,kegg,Experimental,High
Creb5,231991,Fos,14281,kegg,Experimental,High
Creb5,231991,Crh,12918,kegg,Experimental,High
